dataset_name,idx,words,words_rationale,Partition SHAP,topK Partition SHAP,LIME,topK LIME,Integrated Gradient,topK Integrated Gradient,MGAE,AttCAT,GAE,generate_LRP_last_layer,generate_full_lrp,generate_attn_last_layer,generate_rollout,generate_attn_gradcam,generate_gradcam,topK MGAE,topK AttCAT,topK GAE,topK generate_LRP_last_layer,topK generate_full_lrp,topK generate_attn_last_layer,topK generate_rollout,topK generate_attn_gradcam,topK generate_gradcam
sst2,506,crackerjack,1,0.008912197253677,0,0.0946494811320142,1,0.0680502796336589,0,0.0004434331785887,0.0160054583102464,0.0004434331785887,0.0039111096411943,0.0297109521925449,0.1802644282579422,0.0354682207107543,0.3352261185646057,0.0,0,0,0,1,1,1,0,1,0
sst2,506,entertainment,0,0.0387981750387253,0,0.0189821044883114,0,-0.1501756494991277,0,0.0007985117845237,-0.1102794855833053,0.0007985117845237,0.003583128331229,-0.0067215324379503,0.1402849555015564,0.0464297123253345,0.2956262826919555,0.0024977885186672,1,0,1,1,0,1,1,1,0
sst2,506,--,0,-0.0066405719924173,0,-0.0280044900406099,0,0.1175609943282219,1,0.0006947964429855,-0.0255100708454847,0.0006947964429855,0.001689669326879,0.0204786267131567,0.0673129931092262,0.0449994057416915,0.2105396091938018,0.001560240285471,1,0,1,0,0,0,0,0,0
sst2,506,nonstop,1,0.2195414960969418,1,0.2606323144215005,1,0.0835062030819494,0,0.0005280019831843,0.0397111438214778,0.0005280019831843,0.0017670333618298,0.0151299089193344,0.0819171294569969,0.0407029129564762,0.3206773996353149,0.0001684901071712,0,1,0,1,0,1,0,1,0
sst2,506,romance,1,0.1047824822546295,1,0.000703168528007,0,0.0971949998668719,1,0.000550924334675,0.0361535437405109,0.000550924334675,0.0010607944568619,-0.0016013605054467,0.0498730093240737,0.0441013425588607,0.1840643435716629,0.001438382663764,0,1,0,0,0,0,0,0,0
sst2,506,",",0,-0.0512722969702089,0,-0.0176480111483873,0,0.0634292004997772,0,0.0004268606717232,0.09526127576828,0.0004268606717232,0.0013849249808117,0.0211806595325469,0.0589545369148254,0.0448782444000244,0.1802001893520355,0.0039201434701681,0,1,0,0,0,0,0,0,0
sst2,506,music,0,0.0409586506306141,0,0.0512515433839588,0,0.0384138263824414,0,0.0002496469824109,0.0103970356285572,0.0002496469824109,0.0008332057041116,0.0034108189865946,0.0369359292089939,0.0341554656624794,0.1326574683189392,0.0046645663678646,0,0,0,0,0,0,0,0,1
sst2,506,",",0,0.0299460960146907,0,-0.0428710141304098,0,-0.0162645244624099,0,0.0004498680937103,0.0060761529020965,0.0004498680937103,0.001229784800671,0.0073186159133911,0.0518837161362171,0.0424305386841297,0.166907250881195,0.0043068099766969,0,0,0,0,0,0,0,0,0
sst2,506,suspense,0,0.0501880041987691,1,0.0513071455026207,0,0.0709110085471126,0,0.0004193788336124,0.028032599017024,0.0004193788336124,0.0007247205357998,0.015241814777255,0.0271772351115942,0.0427653603255748,0.0935832858085632,0.0043888124637305,0,0,0,0,0,0,0,0,0
sst2,506,and,0,0.0316031953922078,0,0.0962539993037721,1,-0.0254810393969392,0,0.0002889828465413,-0.0855454877018928,0.0002889828465413,0.0008566013420931,0.0871128290891647,0.0357178002595901,0.0613012909889221,0.0922354683279991,0.0064324121922254,0,0,0,0,1,0,1,0,1
sst2,506,action,0,-0.028645313137963,0,-0.0270185205766285,0,0.110737194299404,1,0.000256262923358,0.0088023748248815,0.000256262923358,0.0005633419496007,0.005425282754004,0.0230073612183332,0.033300545066595,0.0621435046195983,0.0053944177925586,0,0,0,0,0,0,0,0,1
sst2,506,.,0,-0.0296652676959259,0,-0.0018116793426667,0,-0.0026231138190099,0,0.0005729959229938,-0.0687805190682411,0.0005729959229938,0.0009352058987133,0.0086122173815965,0.0454733222723007,0.0590315572917461,0.1210573613643646,0.0038543005939573,1,0,1,0,0,0,1,0,0
sst2,742,it,0,0.0206456825751896,0,0.0122144259730842,0,-0.0050070014317678,0,0.0002164187462767,-0.0044123288244009,0.0002164187462767,0.0003757518425118,0.0052331849001348,0.0355742760002613,0.0155562199652194,0.0,0.0,0,0,0,0,0,0,0,0,0
